RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_AVERAGE_FIX_PUPIL_SIZE,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,IA_FIXATION_%,IA_FIXATION_COUNT,IA_DWELL_TIME_%,IA_FIRST_FIXATION_DURATION,IA_LABEL,IA_MAX_FIX_PUPIL_SIZE,IA_MIN_FIX_PUPIL_SIZE,IA_REGRESSION_IN,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT,IA_REGRESSION_OUT_COUNT,IA_SKIP,IA_RUN_COUNT,sno,assertion,IA_FIRST_RUN_FIXATION_%,cond_remark,cleaned_tokens,backward_reg_count,forward_reg_count,total_reg_count,Clicked,token,Intensity_Category,Intensity_Category_Binary,Pupilsize_variation,index
p10,54,"[1251.0, 1124.0, 1021.25, 1076.5, 1041.33]",3275.0,16,"[0.0625, 0.0625, 0.25, 0.125, 0.1875]","[1, 1, 4, 2, 3]","[0.0308, 0.0394, 0.2635, 0.1118, 0.3121]","[101.0, 129.0, 171.0, 154.0, 217.0]",Word 1,"[1251.0, 1124.0, 1086.0, 1095.0, 1074.0]","[1251.0, 1124.0, 973.0, 1058.0, 1021.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 2.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 3.0, 2.0, 2.0]",46,Männer sind nicht die hellsten.,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 2.0]","[1.0, 1.0, 2.0, 2.0, 0.0]","[1.0, 1.0, 2.0, 2.0, 2.0]","[0, 0, 1, 1, 1]",,hate,1,"[0.0, 0.0, 113.0, 37.0, 53.0]",139.0
p10,64,"[1080.6666666666667, 1011.5, 1167.5, 1063.0, 1080.6666666666667]",1916.0,11,"[0.0, 0.1818, 0.1818, 0.0909, 0.0]","[0, 2, 2, 1, 0]","[0.0, 0.2229, 0.1942, 0.1159, 0.0]","[173.33333333333334, 146.0, 152.0, 222.0, 173.33333333333334]",Word 1,"[1088.3333333333333, 1022.0, 1180.0, 1063.0, 1088.3333333333333]","[1073.0, 1001.0, 1155.0, 1063.0, 1073.0]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 2.0, 1.0, 0.0]",43,Männer sind dümmer als Frauen.,"[0.1211999999999999, 0.1818, 0.0909, 0.0909, 0.1211999999999999]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 1, 0, 0]",,hate,1,"[15.333333333333334, 21.0, 25.0, 0.0, 15.333333333333334]",149.0
p11,42,"[1012.0, 1172.0, 902.0, 1068.0, 906.0]",1473.0,8,"[0.0, 0.125, 0.125, 0.125, 0.25]","[0, 1, 1, 1, 2]","[0.0, 0.1914, 0.332, 0.1039, 0.2023]","[269.25, 282.0, 489.0, 153.0, 153.0]",Word 1,"[1020.25, 1172.0, 902.0, 1068.0, 939.0]","[1003.75, 1172.0, 902.0, 1068.0, 873.0]","[0.0, 1.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 2.0]",46,Männer sind nicht die hellsten.,"[0.125, 0.125, 0.125, 0.125, 0.125]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]",,hate,1,"[16.5, 0.0, 0.0, 0.0, 66.0]",217.0
p11,90,"[995.8333333333334, 1010.0, 996.5, 981.0, 995.8333333333334]",1275.0,6,"[0.0, 0.3333, 0.3333, 0.1667, 0.0]","[0, 2, 2, 1, 0]","[0.0, 0.2549, 0.2361, 0.189, 0.0]","[186.33333333333331, 162.0, 156.0, 241.0, 186.33333333333331]",Word 1,"[1038.3333333333333, 1081.0, 1053.0, 981.0, 1038.3333333333333]","[953.3333333333334, 939.0, 940.0, 981.0, 953.3333333333334]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 2.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 2.0, 2.0, 1.0, 0.0]",43,Männer sind dümmer als Frauen.,"[0.1667, 0.1667, 0.1667, 0.1667, 0.1667]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 2.0, 1.0, 0.0]","[0, 0, 1, 1, 0]",,hate,1,"[85.0, 142.0, 113.0, 0.0, 85.0]",265.0
p12,37,"[1363.0, 1259.5, 1233.0, 1208.33, 1265.9575]",2423.0,14,"[0.0714, 0.2857, 0.2857, 0.2143, 0.0]","[1, 4, 4, 3, 0]","[0.0532, 0.2381, 0.3648, 0.253, 0.0]","[129.0, 163.0, 229.0, 267.0, 197.0]",Word 1,"[1363.0, 1391.0, 1381.0, 1345.0, 1370.0]","[1363.0, 1076.0, 1114.0, 1137.0, 1172.5]","[1.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 2.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 3.0, 4.0, 2.0, 0.0]",43,Männer sind dümmer als Frauen.,"[0.0714, 0.1429, 0.0714, 0.0714, 0.089275]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 2.0, 2.0, 0.0]","[1.0, 2.0, 2.0, 0.0, 0.0]","[1.0, 2.0, 4.0, 2.0, 0.0]","[1, 0, 1, 0, 0]",,hate,1,"[0.0, 315.0, 267.0, 208.0, 197.5]",302.0
p12,82,"[1215.0, 1212.0, 1187.0, 1163.0, 1083.5]",1471.0,7,"[0.2857, 0.1429, 0.1429, 0.1429, 0.2857]","[2, 1, 1, 1, 2]","[0.2284, 0.1339, 0.1142, 0.2046, 0.3188]","[196.0, 197.0, 168.0, 301.0, 286.0]",Word 1,"[1215.0, 1212.0, 1187.0, 1163.0, 1113.0]","[1215.0, 1212.0, 1187.0, 1163.0, 1054.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.2857, 0.1429, 0.1429, 0.1429, 0.2857]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 1, 0, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 59.0]",347.0
p13,33,"[1009.0, 1009.0, 1009.0, 1009.0, 1009.0]",1911.0,11,"[0.0, 0.0, 0.0, 0.0, 0.1818]","[0, 0, 0, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.3203]","[276.0, 276.0, 276.0, 276.0, 276.0]",Word 1,"[1027.0, 1027.0, 1027.0, 1027.0, 1027.0]","[991.0, 991.0, 991.0, 991.0, 991.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 2.0]",46,Männer sind nicht die hellsten.,"[0.0909, 0.0909, 0.0909, 0.0909, 0.0909]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1]",,hate,1,"[36.0, 36.0, 36.0, 36.0, 36.0]",388.0
p13,45,"[1040.5, 1049.5, 1048.5, 1052.0, 1012.0]",1153.0,9,"[0.0, 0.2222, 0.2222, 0.2222, 0.1111]","[0, 2, 2, 2, 1]","[0.0, 0.2333, 0.1995, 0.301, 0.0928]","[145.25, 95.0, 200.0, 179.0, 107.0]",Word 1,"[1067.75, 1096.0, 1100.0, 1063.0, 1012.0]","[1013.25, 1003.0, 997.0, 1041.0, 1012.0]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 2.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 2.0, 2.0, 1.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.138875, 0.1111, 0.1111, 0.2222, 0.1111]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 2.0, 1.0, 1.0, 0.0]","[0.0, 2.0, 1.0, 1.0, 1.0]","[0, 0, 1, 1, 0]",,hate,1,"[54.5, 93.0, 103.0, 22.0, 0.0]",400.0
p14,6,"[2213.0, 2080.0, 2080.0, 2080.0, 1947.0]",2698.0,13,"[0.0769, 0.0, 0.0, 0.0, 0.0769]","[1, 0, 0, 0, 1]","[0.0404, 0.0, 0.0, 0.0, 0.0804]","[109.0, 163.0, 163.0, 163.0, 217.0]",Word 1,"[2213.0, 2080.0, 2080.0, 2080.0, 1947.0]","[2213.0, 2080.0, 2080.0, 2080.0, 1947.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 0.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.0769, 0.0769, 0.0769, 0.0769, 0.0769]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",451.0
p14,74,"[1725.0, 1725.0, 1725.0, 1725.0, 1725.0]",3075.0,15,"[0.0667, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0]","[0.0797, 0.0, 0.0, 0.0, 0.0]","[245.0, 245.0, 245.0, 245.0, 245.0]",Word 1,"[1725.0, 1725.0, 1725.0, 1725.0, 1725.0]","[1725.0, 1725.0, 1725.0, 1725.0, 1725.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 0.0, 0.0]",46,Männer sind nicht die hellsten.,"[0.0667, 0.0667, 0.0667, 0.0667, 0.0667]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 1, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",519.0
