Sno;Condition;Cond_remark;ID;processed_assertion;Translation
1;1;hate_w_high;c27;Frauen haben einen signifikant geringeren Durchsetzungswillen.;Women have a significantly lower will to assert themselves.
2;1;hate_w_high;c26;Frauen sind psychisch nicht für komplexe Arbeit geschaffen.;Women are psychologically not made for complex work.
3;1;hate_w_high;c16;Frauen haben im statistischen Mittel ein kleineres Allgemeinwissen.;Women have, as a statistical average, less general knowledge.
4;1;hate_w_high;c14;Frauenförderung hat fast nur Nachteile für die Gesellschaft.;Promoting women has close to only drawbacks for society.
5;1;hate_w_high;c2;Frauen sind im Durchschnitt dümmer als Männer.;Women are on average dumber than men.
6;1;hate_w_high;c11;Frauen sind Männern geistig in einigen Bereichen unterlegen.;Women are mentally intferior to men in some areas.
7;1;hate_w_high;c3;Frauen sind Minderleister in unserer Gesellschaft.;Women are underperformer in our society.
8;1;hate_w_high;c5;Frauen können nichts und sind zu dumm.;Women can't do anything and are too stupid.
9;1;hate_w_high;c25;Frauen ruinieren oft den größten Spaß.;Women often ruin the best fun.
10;1;hate_w_high;c31;Die #metoo-Bewegung ist hysterisch.;The #metoo-movement is hysterical.
11;1;hate_w_high;c20;Frauen sollten zu Hause bleiben und sich um das Kind kümmern.;Women should stay at home and take care of the child.
13;1;hate_w_high;c29;Feministen sind überwiegend angetrieben durch Männerhass.;Feminists are mostly motivated by hatred against men.
14;1;hate_w_high;c30;Frauen altern wie Milch, Männer altern wie Wein.;Women age like milk, men age like wine.
15;1;hate_w_high;c4;Eine klassische Rollenverteilung in der Ehe ist zu bevorzugen.;A classical role destribuition in marriage is preferred.
16;1;hate_w_high;c18;Frauen sind für gewisse Berufen nicht geeignet.;Women are unsuitable for certain jobs.
17;1;hate_w_high;c28;Gleichstellung der Geschlechter ist eine Überbevorteilung von Frauen.;Genderequality is preferential treatment of women.
18;1;hate_w_high;c32;Frauen in führenden Positionen haben häufig komplizierte Persönlichkeiten.;Women in leading positions often have complicated personalities.
19;1;hate_w_high;c1;Frauen gehören in die Küche.;Women belong in the kitchen.
20;1;hate_w_high;c12;Frauen sollten ihre klassische Geschlechterrolle ausüben.;Women should perform their classical gender role.
21;1;hate_w_high;x;Alles was eine Frau tun muss, ist ihren Mann zu befriedigen.;All a wife has to do is to satisfy her husband.
22;4;no_hate_w;197;Frauen machen jedes wirtschaftliche Unternehmen stärker.;Women make every economical venture stronger. (strengthen)
23;4;no_hate_w;338;Männer und Frauen sind gleich intelligent.;Men and women are equally intelligent.
24;4;no_hate_w;155;Frauen können ohne Kinder glücklich sein.;Women can be happy without children.
25;4;no_hate_w;194;Frauen sind nicht schwach und sollten sich so auch nicht fühlen.;Women are not weak and should not feel that way either.
26;4;no_hate_w;199;Frauen sollen das gleiche machen dürfen wie Männer.;Women should be allowed to do the same as men.
27;4;no_hate_w;18;Beide Geschlechter sollten gleich bezahlt werden.;Both genders should be payed the same.
28;4;no_hate_w;268;Gleichberechtigung ist eine menschenrechtliche Frage.;Equality is a human rights issue.
29;4;no_hate_w;384;Väter müssen im gleichen Umfang wie Mütter Verantwortung für ihre Kinder übernehmen.;Fathers have to take responsibility for their children to the same extent as mothers.
30;4;no_hate_w;59;Die Geschlechter sind nicht immer gleich, jedoch nicht minderwertiger.;Both genders are not always equal, but not inferior.
31;4;no_hate_w;6;Alleinerziehende Mütter sind Heldinnen.;Single mothers are heroes.
32;5;hate_w_med;93;Es gibt Frauenberufe und es gibt Männerberufe.;There are jobs for women and jobs for men.
33;5;hate_w_med;314;Männer fühlen sich von Frauen in Führungspositionen bedroht.;Men feel threatened by women in leadership roles.
34;5;hate_w_med;237;Frauenquote muss überall sein.;Women's quota should be pervasive.
35;5;hate_w_med;339;Männer und Frauen sind in einer traditionellen Familie am glücklichsten.;Men and women are happiest in a traditional family.
36;5;hate_w_med;176;Frauen sind bei Sorgerechtsfragen privilegiert.;Women are privileged regarding questions of child custody.
37;5;hate_w_med;149;Frauen haben große Vorteile bei Gerichtsentscheidungen über den Verbleib der eigenen Kinder.;Women have great advantages during court cases regarding the whereabouts of their own children.
38;5;hate_w_med;185;Frauen sind im Durchschnitt schwächer als Männer in physischen Aspekten.;Women are on average weaker than men in physical aspects.
39;5;hate_w_med;58;Die Gender-Pay-Gap ist kein Problem des Sexismus.;The Gender-Pay-Gap is not a problem of sexism.
